AuthID,FieldID
A-11251,F-12
A-11252,F-5
A-11253,F-2
A-11253,F-13
A-11254,F-14
A-11255,F-2
A-11256,F-5
A-11257,F-6
A-11258,F-1
A-11259,F-8
A-1126,F-7
A-11260,F-12
A-11261,F-12
A-11262,F-2
A-11263,F-12
A-11264,F-13
A-11265,F-0
A-11265,F-8
A-11266,F-7
A-11266,F-10
A-11267,F-9
A-11268,F-11
A-11269,F-14
A-1127,F-14
A-11270,F-12
A-11271,F-11
A-11272,F-8
A-11273,F-0
A-11274,F-0
A-11275,F-4
A-11276,F-11
A-11277,F-11
A-11278,F-5
A-11279,F-6
A-1128,F-14
A-11280,F-5
A-11281,F-5
A-11282,F-7
A-11283,F-1
A-11284,F-14
A-11285,F-1
A-11286,F-6
A-11287,F-9
A-11288,F-10
A-11288,F-11
A-11289,F-1
A-11289,F-12
A-1129,F-2
A-11290,F-4
A-11291,F-6
A-11292,F-7
A-11293,F-8
A-11294,F-4
A-11295,F-4
A-11296,F-2
A-11297,F-4
A-11298,F-1
A-11299,F-9
A-113,F-0
A-113,F-10
A-1130,F-10
A-11300,F-2
A-11301,F-6
A-11302,F-3
A-11303,F-2
A-11304,F-14
A-11305,F-5
A-11306,F-7
A-11307,F-7
A-11308,F-10
A-11309,F-1
A-1131,F-12
A-11310,F-1
A-11311,F-13
A-11312,F-13
A-11313,F-14
A-11314,F-13
A-11315,F-12
A-11316,F-5
A-11319,F-9
A-1132,F-6
A-11320,F-8
A-11321,F-7
A-11322,F-10
A-11323,F-10
A-11324,F-13
A-11325,F-1
A-11326,F-2
A-11326,F-8
A-11327,F-7
A-11328,F-7
A-11329,F-2
A-1133,F-12
A-11330,F-13
A-11332,F-0
A-11333,F-9
A-11334,F-9
A-11335,F-7
A-11336,F-7
