PaperID,AuthID
E12-1042,A-10404
E12-1043,A-4710
E12-1043,A-14992
E12-1044,A-13207
E12-1044,A-8146
E12-1044,A-14637
E12-1045,A-6618
E12-1045,A-16111
E12-1046,A-2684
E12-1046,A-3846
E12-1047,A-3015
E12-1048,A-11840
E12-1048,A-18649
E12-1048,A-2822
E12-1048,A-9202
E12-1049,A-10379
E12-1049,A-7214
E12-1050,A-16880
E12-1050,A-8790
E12-1050,A-6351
E12-1050,A-17020
E12-1050,A-17937
E12-1051,A-3401
E12-1051,A-15780
E12-1052,A-1965
E12-1052,A-10587
E12-1052,A-5698
E12-1052,A-14307
E12-1053,A-15402
E12-1053,A-7365
E12-1053,A-1573
E12-1054,A-1833
E12-1055,A-6842
E12-1056,A-10468
E12-1056,A-10694
E12-1057,A-14201
E12-1057,A-4834
E12-1057,A-8527
E12-1057,A-15802
E12-1058,A-295
E12-1058,A-3629
E12-1058,A-8865
E12-1059,A-10468
E12-1059,A-1436
E12-1059,A-14964
E12-1059,A-12856
E12-1059,A-10694
E12-1059,A-3028
E12-1060,A-4906
E12-1060,A-10289
E12-1060,A-2158
E12-1060,A-1450
E12-1060,A-2966
E12-1061,A-18414
E12-1062,A-2386
E12-1062,A-11919
E12-1063,A-2173
E12-1064,A-1684
E12-1064,A-1075
E12-1065,A-8625
E12-1066,A-14306
E12-1066,A-15782
E12-1067,A-15869
E12-1067,A-3976
E12-1068,A-1725
E12-1068,A-9452
E12-1068,A-2587
E12-1068,A-8004
E12-1069,A-7598
E12-1069,A-3633
E12-1070,A-18448
E12-1070,A-1538
E12-1070,A-3280
E12-1071,A-7886
E12-1071,A-16672
E12-1072,A-1979
E12-1072,A-16099
E12-1072,A-14191
E12-1073,A-11578
E12-1073,A-10125
E12-1073,A-976
E12-1074,A-13282
E12-1074,A-9452
E12-1075,A-18122
E12-1075,A-15342
E12-1075,A-2801
E12-1076,A-18676
E12-1076,A-18246
E12-1076,A-811
E12-1076,A-10435
E12-1076,A-6889
E12-1076,A-5496
E12-1076,A-5035
E12-1076,A-4982
E12-1076,A-4236
E12-1076,A-18806
E12-1076,A-405
E12-1077,A-1863
E12-1077,A-7194
E12-1078,A-16918
E12-1078,A-8004
E12-1078,A-3461
E12-1079,A-1698
E12-1079,A-12027
E12-1079,A-10694
E12-1080,A-8821
E12-1080,A-4277
E12-1080,A-4699
E12-1080,A-937
E12-1080,A-2774
E12-1081,A-16063
E12-1081,A-8022
E12-1082,A-15204
E12-1082,A-8047
E12-1082,A-1264
E12-1082,A-7646
E12-1083,A-14447
E12-1083,A-690
E12-1084,A-9685
E12-1085,A-13035
E12-1085,A-17289
E12-1085,A-6132
E12-2001,A-16348
E12-2001,A-724
E12-2001,A-14766
E12-2002,A-18776
E12-2002,A-10439
E12-2002,A-12475
E12-2002,A-3061
E12-2002,A-10288
E12-2002,A-6704
E12-2002,A-774
E12-2003,A-15499
E12-2003,A-6535
E12-2003,A-14241
E12-2003,A-10762
E12-2003,A-9031
E12-2003,A-3018
E12-2003,A-1331
E12-2004,A-18225
E12-2004,A-16721
E12-2004,A-10452
E12-2004,A-10041
E12-2004,A-18073
E12-2004,A-1717
E12-2005,A-17973
E12-2005,A-5739
E12-2005,A-12324
E12-2005,A-6390
E12-2005,A-9014
E12-2006,A-13220
E12-2006,A-14914
E12-2006,A-14152
E12-2006,A-3824
E12-2006,A-3123
E12-2006,A-14969
E12-2006,A-1030
E12-2007,A-893
E12-2007,A-1314
E12-2007,A-17100
E12-2008,A-8855
E12-2008,A-650
E12-2008,A-2944
E12-2009,A-17510
E12-2009,A-1403
E12-2009,A-15824
E12-2010,A-5878
E12-2010,A-6930
E12-2010,A-17189
E12-2010,A-6090
E12-2011,A-1958
E12-2011,A-3073
